Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Diaspora: A Very Short Introduction,Sep-13,Social Sciences,Kenny,2013,10.1093/actrade/9780199858583.001.0001,9780199858583,"Social Sciences, Sociology, Migration Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199858583.001.0001/actrade-9780199858583,VSIO_SUBJECTS:SOC00010
Choice Theory: A Very Short Introduction,Sep-13,Social Sciences,Allingham,2002,10.1093/actrade/9780192803030.001.0001,9780192803030,"Social Sciences, Economics, Econometrics and Mathematical Economics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803030.001.0001/actrade-9780192803030,VSIO_SUBJECTS:SOC00010
Human Evolution: A Very Short Introduction,Sep-13,Social Sciences,Wood,2005,10.1093/actrade/9780192803603.001.0001,9780192803603,"Social Sciences, Anthropology, Human Evolution, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803603.001.0001/actrade-9780192803603,VSIO_SUBJECTS:SOC00010
Engels: A Very Short Introduction,Sep-13,Social Sciences,Carver,2003,10.1093/actrade/9780192804662.001.0001,9780192804662,"Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804662.001.0001/actrade-9780192804662,VSIO_SUBJECTS:SOC00010
Lincoln: A Very Short Introduction,Sep-13,Social Sciences,Guelzo,2009,10.1093/actrade/9780195367805.001.0001,9780195367805,"Social Sciences, Politics, US Politics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195367805.001.0001/actrade-9780195367805,VSIO_SUBJECTS:SOC00010
Ideology: A Very Short Introduction,Sep-13,Social Sciences,Freeden,2003,10.1093/actrade/9780192802811.001.0001,9780192802811,"Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802811.001.0001/actrade-9780192802811,VSIO_SUBJECTS:SOC00010
Democracy: A Very Short Introduction,Sep-13,Social Sciences,Crick,2002,10.1093/actrade/9780192802507.001.0001,9780192802507,"Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802507.001.0001/actrade-9780192802507,VSIO_SUBJECTS:SOC00010
Tocqueville: A Very Short Introduction,Sep-13,Social Sciences,Mansfield,2010,10.1093/actrade/9780195175394.001.0001,9780195175394,"Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195175394.001.0001/actrade-9780195175394,VSIO_SUBJECTS:SOC00010
Nelson Mandela: A Very Short Introduction,Sep-13,Social Sciences,Boehmer,2008,10.1093/actrade/9780192803016.001.0001,9780192803016,"Social Sciences, Politics, Political Theory, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803016.001.0001/actrade-9780192803016,VSIO_SUBJECTS:SOC00010
Education: A Very Short Introduction,Sep-13,Social Sciences,Thomas,2013,10.1093/actrade/9780199643264.001.0001,9780199643264,"null, Social Sciences, Education, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199643264.001.0001/actrade-9780199643264,VSIO_SUBJECTS:SOC00010
Education: A Very Short Introduction,Sep-21,Social Sciences,Thomas,2021,10.1093/actrade/9780198859086.001.0001,9780198859086,"null, Social Sciences, Education, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198859086.001.0001/actrade-9780198859086,VSIO_SUBJECTS:SOC00010
Creativity: A Very Short Introduction,May-21,Social Sciences,Glăveanu,2021,10.1093/actrade/9780198842996.001.0001,9780198842996,"null, Social Sciences, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198842996.001.0001/actrade-9780198842996,VSIO_SUBJECTS:SOC00010
Neoliberalism: A Very Short Introduction,Sep-13,Social Sciences,"Steger, Roy",2010,10.1093/actrade/9780199560516.001.0001,9780199560516,"null, Social Sciences, Politics, Political Theory",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199560516.001.0001/actrade-9780199560516,VSIO_SUBJECTS:SOC00010
Violence: A Very Short Introduction,Mar-22,Social Sciences,Dwyer,2022,10.1093/actrade/9780198831730.001.0001,9780198831730,"null, Social Sciences, Sociology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198831730.001.0001/actrade-9780198831730,VSIO_SUBJECTS:SOC00010
The Russian Economy: A Very Short Introduction,Jul-20,Social Sciences,Connolly,2020,10.1093/actrade/9780198848905.001.0001,9780198848905,"null, Social Sciences, Economics, International Economics",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198848905.001.0001/actrade-9780198848905,VSIO_SUBJECTS:SOC00010
Diplomatic History: A Very Short Introduction,Jul-21,Social Sciences,Siracusa,2021,10.1093/actrade/9780192893918.001.0001,9780192893918,"null, Social Sciences, Politics, International Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192893918.001.0001/actrade-9780192893918,VSIO_SUBJECTS:SOC00010
Diplomacy: A Very Short Introduction,Sep-13,Social Sciences,Siracusa,2010,10.1093/actrade/9780199588503.001.0001,9780199588503,"null, Social Sciences, Politics, International Relations, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199588503.001.0001/actrade-9780199588503,VSIO_SUBJECTS:SOC00010
Public Administration: A Very Short Introduction,Aug-16,Social Sciences,"Theodoulou, Roy",2016,10.1093/actrade/9780198724230.001.0001,9780198724230,"null, Social Sciences, Business and Management, Public and Nonprofit Management, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198724230.001.0001/actrade-9780198724230,VSIO_SUBJECTS:SOC00010
