Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Jewish Literature: A Very Short Introduction,Jul-21,Arts and Humanities,Stavans,2021,10.1093/actrade/9780190076979.001.0001,9780190076979,"null, Arts and Humanities, Literature, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190076979.001.0001/actrade-9780190076979,VSIO_SUBJECTS:AHU00010
Martyrdom: A Very Short Introduction,Sep-13,Arts and Humanities,Mitchell,2012,10.1093/actrade/9780199585236.001.0001,9780199585236,"null, Arts and Humanities, Religion, History of Religion",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199585236.001.0001/actrade-9780199585236,VSIO_SUBJECTS:AHU00010
Art History: A Very Short Introduction,Jan-20,Arts and Humanities,Arnold,2020,10.1093/actrade/9780198831808.001.0001,9780198831808,"Arts and Humanities, Art, History of Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198831808.001.0001/actrade-9780198831808,VSIO_SUBJECTS:AHU00010
Superstition: A Very Short Introduction,Jan-20,Arts and Humanities,Vyse,2020,10.1093/actrade/9780198819257.001.0001,9780198819257,"Arts and Humanities, Society and Culture, Popular Beliefs and Controversial Knowledge, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198819257.001.0001/actrade-9780198819257,VSIO_SUBJECTS:AHU00010
Art History: A Very Short Introduction,Sep-13,Arts and Humanities,Arnold,2004,10.1093/actrade/9780192801814.001.0001,9780192801814,"Arts and Humanities, Art, History of Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801814.001.0001/actrade-9780192801814,VSIO_SUBJECTS:AHU00010
War and Technology: A Very Short Introduction,Oct-16,Arts and Humanities,Roland,2016,10.1093/actrade/9780190605384.001.0001,9780190605384,"Arts and Humanities, History, Military History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190605384.001.0001/actrade-9780190605384,VSIO_SUBJECTS:AHU00010
Decadence: A Very Short Introduction,Apr-18,Arts and Humanities,Weir,2018,10.1093/actrade/9780190610227.001.0001,9780190610227,"Arts and Humanities, Literature, Literary Studies (19th Century), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190610227.001.0001/actrade-9780190610227,VSIO_SUBJECTS:AHU00010
Abolitionism,Aug-18,Arts and Humanities,Newman,2018,10.1093/actrade/9780190213220.001.0001,9780190213220,"Arts and Humanities, History, Slavery and Abolition of Slavery, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780190213220.001.0001/actrade-9780190213220,VSIO_SUBJECTS:AHU00010
Barthes: A Very Short Introduction,Sep-13,Arts and Humanities,Culler,2002,10.1093/actrade/9780192801593.001.0001,9780192801593,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801593.001.0001/actrade-9780192801593,VSIO_SUBJECTS:AHU00010
Linguistics: A Very Short Introduction,Sep-13,Arts and Humanities,Matthews,2003,10.1093/actrade/9780192801487.001.0001,9780192801487,"Arts and Humanities, Linguistics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801487.001.0001/actrade-9780192801487,VSIO_SUBJECTS:AHU00010
William Shakespeare,Apr-15,Arts and Humanities,Wells,2015,10.1093/actrade/9780198718628.001.0001,9780198718628,"Arts and Humanities, Literature, Shakespeare Studies and Criticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198718628.001.0001/actrade-9780198718628,VSIO_SUBJECTS:AHU00010
Shakespeare's Sonnets and Poems: A Very Short Introduction,Sep-17,Arts and Humanities,Post,2017,10.1093/actrade/9780198717577.001.0001,9780198717577,"Arts and Humanities, Literature, Shakespeare Studies and Criticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198717577.001.0001/actrade-9780198717577,VSIO_SUBJECTS:AHU00010
Indian Cinema: A Very Short Introduction,Jul-16,Arts and Humanities,Rajadhyaksha,2016,10.1093/actrade/9780198723097.001.0001,9780198723097,"Arts and Humanities, Media Studies, Film, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198723097.001.0001/actrade-9780198723097,VSIO_SUBJECTS:AHU00010
Shakespeare's Comedies: A Very Short Introduction,Mar-16,Arts and Humanities,van Es,2016,10.1093/actrade/9780198723356.001.0001,9780198723356,"Arts and Humanities, Literature, Shakespeare Studies and Criticism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198723356.001.0001/actrade-9780198723356,VSIO_SUBJECTS:AHU00010
Pilgrimage: A Very Short Introduction,Apr-15,Arts and Humanities,Reader,2015,10.1093/actrade/9780198718222.001.0001,9780198718222,"Arts and Humanities, Society and Culture, Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198718222.001.0001/actrade-9780198718222,VSIO_SUBJECTS:AHU00010
Charles Dickens: A Very Short Introduction,Feb-19,Arts and Humanities,Hartley,2019,10.1093/actrade/9780198714996.001.0001,9780198714996,"Arts and Humanities, Literature, Literary Studies (19th Century), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198714996.001.0001/actrade-9780198714996,VSIO_SUBJECTS:AHU00010
Modern Italy: A Very Short Introduction,Oct-16,Arts and Humanities,Bull,2016,10.1093/actrade/9780198726517.001.0001,9780198726517,"Arts and Humanities, Society and Culture, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198726517.001.0001/actrade-9780198726517,VSIO_SUBJECTS:AHU00010
Translation: A Very Short Introduction,Oct-16,Arts and Humanities,Reynolds,2016,10.1093/actrade/9780198712114.001.0001,9780198712114,"Arts and Humanities, Linguistics, Translation and Interpretation, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198712114.001.0001/actrade-9780198712114,VSIO_SUBJECTS:AHU00010
Judaism: A Very Short Introduction,Sep-13,Arts and Humanities,Solomon,2000,10.1093/actrade/9780192853905.001.0001,9780192853905,"Arts and Humanities, Religion, Judaism and Jewish Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853905.001.0001/actrade-9780192853905,VSIO_SUBJECTS:AHU00010
Animal Rights: A Very Short Introduction,Sep-13,Arts and Humanities,DeGrazia,2002,10.1093/actrade/9780192853608.001.0001,9780192853608,"Arts and Humanities, Philosophy, Moral Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853608.001.0001/actrade-9780192853608,VSIO_SUBJECTS:AHU00010
Hinduism: A Very Short Introduction,Sep-13,Arts and Humanities,Knott,2000,10.1093/actrade/9780192853875.001.0001,9780192853875,"Arts and Humanities, Religion, Hinduism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853875.001.0001/actrade-9780192853875,VSIO_SUBJECTS:AHU00010
Documentary Film: A Very Short Introduction,Sep-13,Arts and Humanities,Aufderheide,2008,10.1093/actrade/9780195182705.001.0001,9780195182705,"Arts and Humanities, Media Studies, Film, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195182705.001.0001/actrade-9780195182705,VSIO_SUBJECTS:AHU00010
Design: A Very Short Introduction,Sep-13,Arts and Humanities,Heskett,2005,10.1093/actrade/9780192854469.001.0001,9780192854469,"Arts and Humanities, Art, Industrial and Commercial Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854469.001.0001/actrade-9780192854469,VSIO_SUBJECTS:AHU00010
Marx: A Very Short Introduction,Sep-13,Arts and Humanities,Singer,2000,10.1093/actrade/9780192854056.001.0001,9780192854056,"Arts and Humanities, Philosophy, Social and Political Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854056.001.0001/actrade-9780192854056,VSIO_SUBJECTS:AHU00010
Classics: A Very Short Introduction,Sep-13,Arts and Humanities,"Beard, Henderson",2000,10.1093/actrade/9780192853851.001.0001,9780192853851,"Arts and Humanities, Classical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853851.001.0001/actrade-9780192853851,VSIO_SUBJECTS:AHU00010
The Hebrew Bible as Literature,May-16,Arts and Humanities,Linafelt,2016,10.1093/actrade/9780195300079.001.0001,9780195300079,"Arts and Humanities, Religion, Religion and Art, Literature, and Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195300079.001.0001/actrade-9780195300079,VSIO_SUBJECTS:AHU00010
The New Testament As Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Keefer,2008,10.1093/actrade/9780195300208.001.0001,9780195300208,"Arts and Humanities, Religion, Religion and Art, Literature, and Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780195300208.001.0001/actrade-9780195300208,VSIO_SUBJECTS:AHU00010
The Koran: A Very Short Introduction,Sep-13,Arts and Humanities,Cook,2000,10.1093/actrade/9780192853448.001.0001,9780192853448,"Arts and Humanities, Religion, Islam, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853448.001.0001/actrade-9780192853448,VSIO_SUBJECTS:AHU00010
History: A Very Short Introduction,Sep-13,Arts and Humanities,Arnold,2000,10.1093/actrade/9780192853523.001.0001,9780192853523,"Arts and Humanities, History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853523.001.0001/actrade-9780192853523,VSIO_SUBJECTS:AHU00010
Sikhism: A Very Short Introduction,Sep-13,Arts and Humanities,Nesbitt,2005,10.1093/actrade/9780192806017.001.0001,9780192806017,"Arts and Humanities, Religion, Sikhism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192806017.001.0001/actrade-9780192806017,VSIO_SUBJECTS:AHU00010
Free Will: A Very Short Introduction,Sep-13,Arts and Humanities,Pink,2004,10.1093/actrade/9780192853585.001.0001,9780192853585,"Arts and Humanities, Philosophy, Philosophy of Mind, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192853585.001.0001/actrade-9780192853585,VSIO_SUBJECTS:AHU00010
Journalism: A Very Short Introduction,Sep-13,Arts and Humanities,Hargreaves,2005,10.1093/actrade/9780192806567.001.0001,9780192806567,"Arts and Humanities, Journalism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192806567.001.0001/actrade-9780192806567,VSIO_SUBJECTS:AHU00010
Aristotle: A Very Short Introduction,Nov-15,Arts and Humanities,Barnes,2000,10.1093/actrade/9780192854087.001.0001,9780192854087,"Arts and Humanities, Classical Studies, Classical Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192854087.001.0001/actrade-9780192854087,VSIO_SUBJECTS:AHU00010
Political Philosophy: A Very Short Introduction,Sep-13,Arts and Humanities,Miller,2003,10.1093/actrade/9780192803955.001.0001,9780192803955,"Arts and Humanities, Philosophy, Social and Political Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803955.001.0001/actrade-9780192803955,VSIO_SUBJECTS:AHU00010
Kafka: A Very Short Introduction,Sep-13,Arts and Humanities,Robertson,2004,10.1093/actrade/9780192804556.001.0001,9780192804556,"Arts and Humanities, Literature, Literary Studies (Fiction, Novelists, and Prose Writers), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804556.001.0001/actrade-9780192804556,VSIO_SUBJECTS:AHU00010
Hieroglyphs: A Very Short Introduction,Sep-13,Arts and Humanities,Wilson,2004,10.1093/actrade/9780192805027.001.0001,9780192805027,"Arts and Humanities, Egyptology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192805027.001.0001/actrade-9780192805027,VSIO_SUBJECTS:AHU00010
Classical Mythology: A Very Short Introduction,Sep-13,Arts and Humanities,Morales,2007,10.1093/actrade/9780192804761.001.0001,9780192804761,"Arts and Humanities, Classical Studies, Classical Literature, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804761.001.0001/actrade-9780192804761,VSIO_SUBJECTS:AHU00010
Myth: A Very Short Introduction,Sep-13,Arts and Humanities,Segal,2004,10.1093/actrade/9780192803474.001.0001,9780192803474,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803474.001.0001/actrade-9780192803474,VSIO_SUBJECTS:AHU00010
Egyptian Myth: A Very Short Introduction,Sep-13,Arts and Humanities,Pinch,2004,10.1093/actrade/9780192803467.001.0001,9780192803467,"Arts and Humanities, Egyptology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803467.001.0001/actrade-9780192803467,VSIO_SUBJECTS:AHU00010
Christianity: A Very Short Introduction,Sep-13,Arts and Humanities,Woodhead,2004,10.1093/actrade/9780192803221.001.0001,9780192803221,"Arts and Humanities, Religion, Christianity, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803221.001.0001/actrade-9780192803221,VSIO_SUBJECTS:AHU00010
Modernism: A Very Short Introduction,Sep-13,Arts and Humanities,Butler,2010,10.1093/actrade/9780192804419.001.0001,9780192804419,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804419.001.0001/actrade-9780192804419,VSIO_SUBJECTS:AHU00010
Art Theory: A Very Short Introduction,Sep-13,Arts and Humanities,Freeland,2003,10.1093/actrade/9780192804631.001.0001,9780192804631,"Arts and Humanities, Art, Theory of Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804631.001.0001/actrade-9780192804631,VSIO_SUBJECTS:AHU00010
The History of Time: A Very Short Introduction,Sep-13,Arts and Humanities,Holford-Strevens,2005,10.1093/actrade/9780192804990.001.0001,9780192804990,"Arts and Humanities, History, Intellectual History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192804990.001.0001/actrade-9780192804990,VSIO_SUBJECTS:AHU00010
The Dead Sea Scrolls: A Very Short Introduction,Sep-13,Arts and Humanities,Lim,2005,10.1093/actrade/9780192806598.001.0001,9780192806598,"Arts and Humanities, Religion, Biblical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192806598.001.0001/actrade-9780192806598,VSIO_SUBJECTS:AHU00010
Christian Art: A Very Short Introduction,Sep-13,Arts and Humanities,Williamson,2004,10.1093/actrade/9780192803283.001.0001,9780192803283,"Arts and Humanities, Religion, Religion and Art, Literature, and Music, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192803283.001.0001/actrade-9780192803283,VSIO_SUBJECTS:AHU00010
Philosophy of Science: A Very Short Introduction,Sep-13,Arts and Humanities,Okasha,2002,10.1093/actrade/9780192802835.001.0001,9780192802835,"Arts and Humanities, Philosophy, Philosophy of Science, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802835.001.0001/actrade-9780192802835,VSIO_SUBJECTS:AHU00010
Empire: A Very Short Introduction,Sep-13,Arts and Humanities,Howe,2002,10.1093/actrade/9780192802231.001.0001,9780192802231,"Arts and Humanities, History, Colonialism and Imperialism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802231.001.0001/actrade-9780192802231,VSIO_SUBJECTS:AHU00010
Tragedy: A Very Short Introduction,Sep-13,Arts and Humanities,Poole,2005,10.1093/actrade/9780192802354.001.0001,9780192802354,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192802354.001.0001/actrade-9780192802354,VSIO_SUBJECTS:AHU00010
Architecture: A Very Short Introduction,Sep-13,Arts and Humanities,Ballantyne,2002,10.1093/actrade/9780192801791.001.0001,9780192801791,"Arts and Humanities, Architecture, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780192801791.001.0001/actrade-9780192801791,VSIO_SUBJECTS:AHU00010
Biography: A Very Short Introduction,Sep-13,Arts and Humanities,Lee,2009,10.1093/actrade/9780199533541.001.0001,9780199533541,"Arts and Humanities, Biographical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199533541.001.0001/actrade-9780199533541,VSIO_SUBJECTS:AHU00010
The Harlem Renaissance: A Very Short Introduction,Jul-16,Arts and Humanities,Wall,2016,10.1093/actrade/9780199335558.001.0001,9780199335558,"Arts and Humanities, History, Social and Cultural History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199335558.001.0001/actrade-9780199335558,VSIO_SUBJECTS:AHU00010
Albert Camus: A Very Short Introduction,Feb-20,Arts and Humanities,Gloag,2020,10.1093/actrade/9780198792970.001.0001,9780198792970,"null, Arts and Humanities, Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198792970.001.0001/actrade-9780198792970,VSIO_SUBJECTS:AHU00010
Romanticism: A Very Short Introduction,Sep-13,Arts and Humanities,Ferber,2010,10.1093/actrade/9780199568918.001.0001,9780199568918,"Arts and Humanities, Literature, Literary Studies (Romanticism), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199568918.001.0001/actrade-9780199568918,VSIO_SUBJECTS:AHU00010
English Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Bate,2010,10.1093/actrade/9780199569267.001.0001,9780199569267,"Arts and Humanities, Literature, Literary Studies (British and Irish), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199569267.001.0001/actrade-9780199569267,VSIO_SUBJECTS:AHU00010
Children's Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Reynolds,2011,10.1093/actrade/9780199560240.001.0001,9780199560240,"Arts and Humanities, Literature, Children's Literature Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199560240.001.0001/actrade-9780199560240,VSIO_SUBJECTS:AHU00010
Garden History: A Very Short Introduction,Feb-19,Arts and Humanities,Campbell,2019,10.1093/actrade/9780199689873.001.0001,9780199689873,"Arts and Humanities, History, Social and Cultural History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199689873.001.0001/actrade-9780199689873,VSIO_SUBJECTS:AHU00010
Knowledge,Sep-14,Arts and Humanities,Nagel,2014,10.1093/actrade/9780199661268.001.0001,9780199661268,"Arts and Humanities, Philosophy, Epistemology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199661268.001.0001/actrade-9780199661268,VSIO_SUBJECTS:AHU00010
Modern Drama: A Very Short Introduction,Jan-16,Arts and Humanities,Shepherd-Barr,2016,10.1093/actrade/9780199658770.001.0001,9780199658770,"Arts and Humanities, Performing Arts, Theatre, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199658770.001.0001/actrade-9780199658770,VSIO_SUBJECTS:AHU00010
Crime Fiction: A Very Short Introduction,May-15,Arts and Humanities,Bradford,2015,10.1093/actrade/9780199658787.001.0001,9780199658787,"Arts and Humanities, Literature, Literary Studies (Fiction, Novelists, and Prose Writers), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199658787.001.0001/actrade-9780199658787,VSIO_SUBJECTS:AHU00010
Epicureanism: A Very Short Introduction,Dec-15,Arts and Humanities,Wilson,2015,10.1093/actrade/9780199688326.001.0001,9780199688326,"Arts and Humanities, Philosophy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199688326.001.0001/actrade-9780199688326,VSIO_SUBJECTS:AHU00010
Christianity: A Very Short Introduction,Sep-14,Arts and Humanities,Woodhead,2014,10.1093/actrade/9780199687749.001.0001,9780199687749,"Arts and Humanities, Religion, Christianity, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199687749.001.0001/actrade-9780199687749,VSIO_SUBJECTS:AHU00010
French Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Lyons,2010,10.1093/actrade/9780199568727.001.0001,9780199568727,"Arts and Humanities, Literature, Literary Studies (European), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199568727.001.0001/actrade-9780199568727,VSIO_SUBJECTS:AHU00010
Writing and Script: A Very Short Introduction,Sep-13,Arts and Humanities,Robinson,2009,10.1093/actrade/9780199567782.001.0001,9780199567782,"Arts and Humanities, Linguistics, Writing Systems, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199567782.001.0001/actrade-9780199567782,VSIO_SUBJECTS:AHU00010
Dante: A Very Short Introduction,Feb-15,Arts and Humanities,"Hainsworth, Robey",2015,10.1093/actrade/9780199684779.001.0001,9780199684779,"Arts and Humanities, Literature, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199684779.001.0001/actrade-9780199684779,VSIO_SUBJECTS:AHU00010
Autobiography: A Very Short Introduction,Jul-18,Arts and Humanities,Marcus,2018,10.1093/actrade/9780199669240.001.0001,9780199669240,"Arts and Humanities, Biographical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199669240.001.0001/actrade-9780199669240,VSIO_SUBJECTS:AHU00010
Classical Literature: A Very Short Introduction,Mar-14,Arts and Humanities,Allan,2014,10.1093/actrade/9780199665457.001.0001,9780199665457,"Arts and Humanities, Classical Studies, Classical Literature, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199665457.001.0001/actrade-9780199665457,VSIO_SUBJECTS:AHU00010
Archaeology: A Very Short Introduction,Sep-13,Arts and Humanities,Bahn,2012,10.1093/actrade/9780199657438.001.0001,9780199657438,"Arts and Humanities, Archaeology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199657438.001.0001/actrade-9780199657438,VSIO_SUBJECTS:AHU00010
Theatre: A Very Short Introduction,Oct-14,Arts and Humanities,Carlson,2014,10.1093/actrade/9780199669820.001.0001,9780199669820,"Arts and Humanities, Performing Arts, Theatre, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199669820.001.0001/actrade-9780199669820,VSIO_SUBJECTS:AHU00010
Buddhism: A Very Short Introduction,Sep-13,Arts and Humanities,Keown,2013,10.1093/actrade/9780199663835.001.0001,9780199663835,"Arts and Humanities, Religion, Buddhism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199663835.001.0001/actrade-9780199663835,VSIO_SUBJECTS:AHU00010
Rhetoric: A Very Short Introduction,Sep-13,Arts and Humanities,Toye,2013,10.1093/actrade/9780199651368.001.0001,9780199651368,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199651368.001.0001/actrade-9780199651368,VSIO_SUBJECTS:AHU00010
Metaphysics: A Very Short Introduction,Sep-13,Arts and Humanities,Mumford,2012,10.1093/actrade/9780199657124.001.0001,9780199657124,"Arts and Humanities, Philosophy, Metaphysics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199657124.001.0001/actrade-9780199657124,VSIO_SUBJECTS:AHU00010
Contemporary Fiction,Sep-13,Arts and Humanities,Eaglestone,2013,10.1093/actrade/9780199609260.001.0001,9780199609260,"Arts and Humanities, Literature, Literary Studies (20th Century onwards), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199609260.001.0001/actrade-9780199609260,VSIO_SUBJECTS:AHU00010
Islam: A Very Short Introduction,Sep-13,Arts and Humanities,Ruthven,2012,10.1093/actrade/9780199642878.001.0001,9780199642878,"Arts and Humanities, Religion, Islam, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199642878.001.0001/actrade-9780199642878,VSIO_SUBJECTS:AHU00010
Comedy: A Very Short Introduction,Sep-13,Arts and Humanities,Bevis,2012,10.1093/actrade/9780199601714.001.0001,9780199601714,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199601714.001.0001/actrade-9780199601714,VSIO_SUBJECTS:AHU00010
Languages: A Very Short Introduction,Sep-13,Arts and Humanities,Anderson,2012,10.1093/actrade/9780199590599.001.0001,9780199590599,"Arts and Humanities, Linguistics, Language Families, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199590599.001.0001/actrade-9780199590599,VSIO_SUBJECTS:AHU00010
Thought: A Very Short Introduction,Sep-13,Arts and Humanities,Bayne,2013,10.1093/actrade/9780199601721.001.0001,9780199601721,"Arts and Humanities, Philosophy, Epistemology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199601721.001.0001/actrade-9780199601721,VSIO_SUBJECTS:AHU00010
Judaism: A Very Short Introduction,Aug-14,Arts and Humanities,Solomon,2014,10.1093/actrade/9780199687350.001.0001,9780199687350,"Arts and Humanities, Religion, Judaism and Jewish Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199687350.001.0001/actrade-9780199687350,VSIO_SUBJECTS:AHU00010
Ancient Egyptian Art and Architecture: A Very Short Introduction,Oct-14,Arts and Humanities,Riggs,2014,10.1093/actrade/9780199682782.001.0001,9780199682782,"Arts and Humanities, Art, History of Art, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199682782.001.0001/actrade-9780199682782,VSIO_SUBJECTS:AHU00010
Journalism: A Very Short Introduction,Aug-14,Arts and Humanities,Hargreaves,2014,10.1093/actrade/9780199686872.001.0001,9780199686872,"Arts and Humanities, Journalism, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199686872.001.0001/actrade-9780199686872,VSIO_SUBJECTS:AHU00010
Sport: A Very Short Introduction,Nov-14,Arts and Humanities,Cronin,2014,10.1093/actrade/9780199688340.001.0001,9780199688340,"Arts and Humanities, History, Social and Cultural History, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199688340.001.0001/actrade-9780199688340,VSIO_SUBJECTS:AHU00010
Voltaire: A Very Short Introduction,Feb-17,Arts and Humanities,Cronk,2017,10.1093/actrade/9780199688357.001.0001,9780199688357,"Arts and Humanities, Biographical Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199688357.001.0001/actrade-9780199688357,VSIO_SUBJECTS:AHU00010
Literary Theory: A Very Short Introduction,Sep-13,Arts and Humanities,Culler,2011,10.1093/actrade/9780199691340.001.0001,9780199691340,"Arts and Humanities, Literature, Literary Theory and Cultural Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199691340.001.0001/actrade-9780199691340,VSIO_SUBJECTS:AHU00010
American Slavery: A Very Short Introduction,Nov-14,Arts and Humanities,Williams,2014,10.1093/actrade/9780199922680.001.0001,9780199922680,"Arts and Humanities, History, Slavery and Abolition of Slavery, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199922680.001.0001/actrade-9780199922680,VSIO_SUBJECTS:AHU00010
Exploration: A Very Short Introduction,Jan-15,Arts and Humanities,Weaver,2015,10.1093/actrade/9780199946952.001.0001,9780199946952,"Arts and Humanities, History, Historical Geography, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199946952.001.0001/actrade-9780199946952,VSIO_SUBJECTS:AHU00010
Colonial Latin American Literature: A Very Short Introduction,Sep-13,Arts and Humanities,Adorno,2011,10.1093/actrade/9780199755028.001.0001,9780199755028,"Arts and Humanities, Literature, Literary Studies (American), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199755028.001.0001/actrade-9780199755028,VSIO_SUBJECTS:AHU00010
Jewish History: A Very Short Introduction,May-17,Arts and Humanities,Myers,2017,10.1093/actrade/9780199730988.001.0001,9780199730988,"Arts and Humanities, Religion, Judaism and Jewish Studies, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199730988.001.0001/actrade-9780199730988,VSIO_SUBJECTS:AHU00010
Goethe: A Very Short Introduction,Jan-16,Arts and Humanities,Robertson,2016,10.1093/actrade/9780199689255.001.0001,9780199689255,"Arts and Humanities, Literature, Literary Studies (European), null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199689255.001.0001/actrade-9780199689255,VSIO_SUBJECTS:AHU00010
Trust: A Very Short Introduction,Sep-13,Arts and Humanities,Hawley,2012,10.1093/actrade/9780199697342.001.0001,9780199697342,"Arts and Humanities, Philosophy, Practical Ethics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199697342.001.0001/actrade-9780199697342,VSIO_SUBJECTS:AHU00010
Saints: A Very Short Introduction,Sep-18,Arts and Humanities,Yarrow,2018,10.1093/actrade/9780199676514.001.0001,9780199676514,"Arts and Humanities, Religion, History of Religion, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199676514.001.0001/actrade-9780199676514,VSIO_SUBJECTS:AHU00010
